team1;team2;goals1;goals2;pen1;pen2;idx
Qatar;Ecuador;1;3;ND;ND;1
Senegal;Netherlands;0;1;ND;ND;2
Qatar;Senegal;0;1;ND;ND;3
Netherlands;Ecuador;0;1;ND;ND;4
Netherlands;Qatar;2;0;ND;ND;5
Ecuador;Senegal;1;2;ND;ND;6
England;Iran;1;0;ND;ND;7
United_States;Wales;0;2;ND;ND;8
England;United_States;1;1;ND;ND;9
Wales;Iran;0;3;ND;ND;10
Wales;England;1;2;ND;ND;11
Iran;United_States;1;1;ND;ND;12
Argentina;Saudi_Arabia;2;1;ND;ND;13
Mexico;Poland;2;1;ND;ND;14
Argentina;Mexico;1;1;ND;ND;15
Poland;Saudi_Arabia;1;0;ND;ND;16
Poland;Argentina;0;4;ND;ND;17
Saudi_Arabia;Mexico;1;2;ND;ND;18
France;Australia;4;2;ND;ND;19
Denmark;Tunisia;3;2;ND;ND;20
France;Denmark;0;1;ND;ND;21
Tunisia;Australia;0;0;ND;ND;22
Tunisia;France;0;3;ND;ND;23
Australia;Denmark;1;4;ND;ND;24
Spain;Costa_Rica;0;2;ND;ND;25
Germany;Japan;1;2;ND;ND;26
Spain;Germany;2;0;ND;ND;27
Japan;Costa_Rica;0;3;ND;ND;28
Japan;Spain;0;2;ND;ND;29
Costa_Rica;Germany;0;2;ND;ND;30
Belgium;Canada;3;2;ND;ND;31
Morocco;Croatia;1;1;ND;ND;32
Belgium;Morocco;2;2;ND;ND;33
Croatia;Canada;2;0;ND;ND;34
Croatia;Belgium;1;2;ND;ND;35
Canada;Morocco;0;1;ND;ND;36
Brazil;Serbia;3;1;ND;ND;37
Switzerland;Cameroon;3;1;ND;ND;38
Brazil;Switzerland;3;1;ND;ND;39
Cameroon;Serbia;2;5;ND;ND;40
Cameroon;Brazil;0;1;ND;ND;41
Serbia;Switzerland;0;0;ND;ND;42
Portugal;Ghana;5;0;ND;ND;43
Uruguay;South_Korea;0;1;ND;ND;44
Portugal;Uruguay;2;1;ND;ND;45
South_Korea;Ghana;1;2;ND;ND;46
South_Korea;Portugal;1;1;ND;ND;47
Ghana;Uruguay;2;2;ND;ND;48
Ecuador;Iran;0;1;ND;ND;49
Argentina;France;0;1;ND;ND;50
Costa_Rica;Morocco;1;2;ND;ND;51
Brazil;South_Korea;1;1;3;2;52
Netherlands;England;2;0;ND;ND;53
Mexico;Denmark;0;1;ND;ND;54
Spain;Belgium;0;1;ND;ND;55
Serbia;Portugal;3;1;ND;ND;56
Iran;France;1;0;ND;ND;57
Morocco;Brazil;2;3;ND;ND;58
Netherlands;Denmark;3;1;ND;ND;59
Belgium;Serbia;1;0;ND;ND;60
Iran;Brazil;2;1;ND;ND;61
Netherlands;Belgium;2;1;ND;ND;62
Brazil;Belgium;0;2;ND;ND;63
Iran;Netherlands;1;1;5;4;64
Qatar;Ecuador;0;2;ND;ND;1
Senegal;Netherlands;0;2;ND;ND;2
Qatar;Senegal;3;1;ND;ND;3
Netherlands;Ecuador;0;0;ND;ND;4
Netherlands;Qatar;1;0;ND;ND;5
Ecuador;Senegal;2;0;ND;ND;6
England;Iran;1;2;ND;ND;7
United_States;Wales;1;1;ND;ND;8
England;United_States;2;2;ND;ND;9
Wales;Iran;0;1;ND;ND;10
Wales;England;1;1;ND;ND;11
Iran;United_States;3;1;ND;ND;12
Argentina;Saudi_Arabia;5;0;ND;ND;13
Mexico;Poland;3;2;ND;ND;14
Argentina;Mexico;2;0;ND;ND;15
Poland;Saudi_Arabia;1;0;ND;ND;16
Poland;Argentina;1;1;ND;ND;17
Saudi_Arabia;Mexico;2;1;ND;ND;18
France;Australia;1;0;ND;ND;19
Denmark;Tunisia;2;0;ND;ND;20
France;Denmark;0;4;ND;ND;21
Tunisia;Australia;1;0;ND;ND;22
Tunisia;France;0;0;ND;ND;23
Australia;Denmark;1;0;ND;ND;24
Spain;Costa_Rica;0;0;ND;ND;25
Germany;Japan;4;3;ND;ND;26
Spain;Germany;1;1;ND;ND;27
Japan;Costa_Rica;3;1;ND;ND;28
Japan;Spain;0;1;ND;ND;29
Costa_Rica;Germany;0;1;ND;ND;30
Belgium;Canada;0;1;ND;ND;31
Morocco;Croatia;0;1;ND;ND;32
Belgium;Morocco;2;1;ND;ND;33
Croatia;Canada;0;1;ND;ND;34
Croatia;Belgium;1;1;ND;ND;35
Canada;Morocco;3;0;ND;ND;36
Brazil;Serbia;2;0;ND;ND;37
Switzerland;Cameroon;1;0;ND;ND;38
Brazil;Switzerland;3;0;ND;ND;39
Cameroon;Serbia;1;3;ND;ND;40
Cameroon;Brazil;3;2;ND;ND;41
Serbia;Switzerland;0;1;ND;ND;42
Portugal;Ghana;1;0;ND;ND;43
Uruguay;South_Korea;1;2;ND;ND;44
Portugal;Uruguay;3;2;ND;ND;45
South_Korea;Ghana;0;0;ND;ND;46
South_Korea;Portugal;1;1;ND;ND;47
Ghana;Uruguay;1;0;ND;ND;48
Ecuador;England;0;0;4;2;49
Argentina;Tunisia;4;0;ND;ND;50
Germany;Belgium;1;0;ND;ND;51
Brazil;South_Korea;0;1;ND;ND;52
Netherlands;Iran;3;0;ND;ND;53
Poland;Denmark;2;1;ND;ND;54
Spain;Canada;2;0;ND;ND;55
Switzerland;Portugal;0;3;ND;ND;56
Ecuador;Argentina;2;1;ND;ND;57
Germany;South_Korea;2;2;4;2;58
Netherlands;Poland;1;0;ND;ND;59
Spain;Portugal;0;0;5;3;60
Ecuador;Germany;1;1;5;4;61
Netherlands;Spain;0;1;ND;ND;62
Germany;Netherlands;0;4;ND;ND;63
Ecuador;Spain;2;1;ND;ND;64
Qatar;Ecuador;3;3;ND;ND;1
Senegal;Netherlands;1;1;ND;ND;2
Qatar;Senegal;1;1;ND;ND;3
Netherlands;Ecuador;5;1;ND;ND;4
Netherlands;Qatar;5;0;ND;ND;5
Ecuador;Senegal;0;1;ND;ND;6
England;Iran;1;1;ND;ND;7
United_States;Wales;3;1;ND;ND;8
England;United_States;2;2;ND;ND;9
Wales;Iran;0;2;ND;ND;10
Wales;England;1;2;ND;ND;11
Iran;United_States;1;2;ND;ND;12
Argentina;Saudi_Arabia;2;0;ND;ND;13
