group_name;1st;2nd;3rd;4th
A;Ecuador;Netherlands;Senegal;Qatar
B;England;Iran;Wales;United_States
C;Argentina;Mexico;Poland;Saudi_Arabia
D;Denmark;France;Tunisia;Australia
E;Costa_Rica;Spain;Germany;Japan
F;Belgium;Morocco;Croatia;Canada
G;Brazil;Serbia;Switzerland;Cameroon
H;Portugal;South_Korea;Ghana;Uruguay
A;Ecuador;Netherlands;Qatar;Senegal
B;Iran;England;Wales;United_States
C;Argentina;Poland;Mexico;Saudi_Arabia
D;Denmark;Tunisia;France;Australia
E;Germany;Spain;Japan;Costa_Rica
F;Canada;Belgium;Croatia;Morocco
G;Brazil;Switzerland;Serbia;Cameroon
H;Portugal;South_Korea;Ghana;Uruguay
A;Netherlands;Senegal;Qatar;Ecuador
B;United_States;England;Iran;Wales
C;Argentina;Mexico;Poland;Saudi_Arabia
D;France;Denmark;Australia;Tunisia
E;Spain;Costa_Rica;Japan;Germany
F;Croatia;Morocco;Belgium;Canada
G;Brazil;Serbia;Switzerland;Cameroon
H;Uruguay;Portugal;Ghana;South_Korea
A;Ecuador;Qatar;Netherlands;Senegal
B;Iran;England;United_States;Wales
C;Argentina;Mexico;Poland;Saudi_Arabia
D;France;Denmark;Australia;Tunisia
E;Costa_Rica;Germany;Spain;Japan
F;Belgium;Croatia;Canada;Morocco
G;Brazil;Switzerland;Serbia;Cameroon
H;Portugal;Uruguay;Ghana;South_Korea
A;Netherlands;Qatar;Senegal;Ecuador
B;England;United_States;Wales;Iran
C;Argentina;Poland;Mexico;Saudi_Arabia
D;Denmark;France;Tunisia;Australia
E;Germany;Spain;Japan;Costa_Rica
F;Croatia;Belgium;Morocco;Canada
G;Switzerland;Brazil;Serbia;Cameroon
H;Portugal;Uruguay;South_Korea;Ghana
A;Ecuador;Senegal;Netherlands;Qatar
B;United_States;England;Wales;Iran
C;Argentina;Poland;Mexico;Saudi_Arabia
D;France;Tunisia;Australia;Denmark
E;Germany;Spain;Costa_Rica;Japan
F;Belgium;Croatia;Canada;Morocco
G;Switzerland;Brazil;Serbia;Cameroon
H;South_Korea;Portugal;Uruguay;Ghana
A;Netherlands;Senegal;Qatar;Ecuador
B;United_States;Iran;Wales;England
C;Mexico;Saudi_Arabia;Argentina;Poland
D;Denmark;France;Tunisia;Australia
E;Spain;Germany;Japan;Costa_Rica
F;Belgium;Canada;Morocco;Croatia
G;Brazil;Switzerland;Serbia;Cameroon
H;Uruguay;Portugal;South_Korea;Ghana
A;Netherlands;Qatar;Ecuador;Senegal
B;England;Wales;Iran;United_States
C;Argentina;Poland;Mexico;Saudi_Arabia
D;France;Denmark;Australia;Tunisia
E;Spain;Costa_Rica;Japan;Germany
F;Canada;Croatia;Belgium;Morocco
G;Switzerland;Serbia;Brazil;Cameroon
H;Portugal;Ghana;Uruguay;South_Korea
A;Ecuador;Netherlands;Qatar;Senegal
B;Iran;England;Wales;United_States
C;Argentina;Saudi_Arabia;Poland;Mexico
D;Denmark;France;Tunisia;Australia
E;Costa_Rica;Germany;Japan;Spain
F;Belgium;Croatia;Canada;Morocco
G;Brazil;Serbia;Switzerland;Cameroon
H;Uruguay;Ghana;Portugal;South_Korea
A;Netherlands;Qatar;Ecuador;Senegal
B;United_States;England;Iran;Wales
C;Argentina;Poland;Mexico;Saudi_Arabia
D;France;Denmark;Australia;Tunisia
E;Costa_Rica;Spain;Japan;Germany
F;Croatia;Canada;Belgium;Morocco
G;Serbia;Brazil;Switzerland;Cameroon
H;Uruguay;Portugal;Ghana;South_Korea
A;Netherlands;Qatar;Ecuador;Senegal
B;Wales;United_States;Iran;England
C;Argentina;Mexico;Poland;Saudi_Arabia
D;Australia;Denmark;France;Tunisia
E;Spain;Germany;Japan;Costa_Rica
F;Croatia;Belgium;Canada;Morocco
G;Serbia;Brazil;Cameroon;Switzerland
H;Portugal;Uruguay;South_Korea;Ghana
A;Netherlands;Ecuador;Qatar;Senegal
B;Wales;United_States;Iran;England
C;Argentina;Mexico;Poland;Saudi_Arabia
D;Denmark;Australia;Tunisia;France
E;Spain;Japan;Germany;Costa_Rica
F;Belgium;Croatia;Morocco;Canada
G;Switzerland;Serbia;Cameroon;Brazil
H;Portugal;Uruguay;South_Korea;Ghana
A;Netherlands;Ecuador;Qatar;Senegal
B;Iran;Wales;England;United_States
C;Argentina;Poland;Mexico;Saudi_Arabia
D;France;Tunisia;Australia;Denmark
E;Costa_Rica;Germany;Spain;Japan
F;Belgium;Morocco;Croatia;Canada
G;Brazil;Switzerland;Serbia;Cameroon
H;Portugal;Uruguay;South_Korea;Ghana
A;Netherlands;Senegal;Qatar;Ecuador
B;England;Iran;Wales;United_States
C;Argentina;Mexico;Poland;Saudi_Arabia
D;Denmark;Australia;Tunisia;France
E;Germany;Japan;Spain;Costa_Rica
F;Morocco;Canada;Belgium;Croatia
G;Brazil;Switzerland;Cameroon;Serbia
H;Uruguay;Portugal;South_Korea;Ghana
A;Qatar;Ecuador;Netherlands;Senegal
B;United_States;England;Iran;Wales
C;Mexico;Argentina;Poland;Saudi_Arabia
D;France;Denmark;Australia;Tunisia
E;Germany;Costa_Rica;Japan;Spain
F;Belgium;Canada;Croatia;Morocco
G;Switzerland;Brazil;Serbia;Cameroon
H;Portugal;Uruguay;South_Korea;Ghana
A;Ecuador;Senegal;Netherlands;Qatar
B;Iran;England;Wales;United_States
C;Poland;Saudi_Arabia;Argentina;Mexico
D;Denmark;Australia;France;Tunisia
E;Germany;Spain;Costa_Rica;Japan
F;Belgium;Croatia;Canada;Morocco
